invoice_no,invoice_date,invoice_month,country,market_group,day_type,invoice_total,total_units,distinct_items,customer_id,invoice_value_zscore,is_high_value_outlier_iqr,is_high_value_outlier_zscore
581457,2011-12-08 18:43:00,2011-12,United Kingdom,United Kingdom,Weekday,10363.82,2414,11,18102,5.521695425703647,True,True
561633,2011-07-28 14:33:00,2011-07,United Kingdom,United Kingdom,Weekday,10303.95,2565,8,17949,5.488067540620694,True,True
567280,2011-09-19 11:46:00,2011-09,Netherlands,International,Weekday,10267.88,6932,66,14646,5.467807680675109,True,True
558262,2011-06-28 08:45:00,2011-06,Netherlands,International,Weekday,10174.94,8998,72,14646,5.415604980831955,True,True
546789,2011-03-17 10:17:00,2011-03,United Kingdom,United Kingdom,Weekday,10065.0,6100,9,15769,5.353853691604964,True,True
537657,2010-12-07 16:42:00,2010-12,United Kingdom,United Kingdom,Weekday,9639.12,2790,5,18102,5.114644677088043,True,True
554366,2011-05-24 10:24:00,2011-05,United Kingdom,United Kingdom,Weekday,9468.48,3084,4,17450,5.018799306943476,True,True
563074,2011-08-11 15:58:00,2011-08,United Kingdom,United Kingdom,Weekday,9349.72,6098,22,12931,4.952093984871461,True,True
552978,2011-05-12 14:46:00,2011-05,Germany,International,Weekday,9341.26,4282,67,12590,4.947342157448682,True,True
580729,2011-12-05 17:24:00,2011-12,United Kingdom,United Kingdom,Weekday,9020.83,2456,721,,4.767362481197961,True,True
554827,2011-05-26 15:19:00,2011-05,Netherlands,International,Weekday,8980.88,4664,50,14646,4.744923296145948,True,True
580727,2011-12-05 17:17:00,2011-12,United Kingdom,United Kingdom,Weekday,8935.98,2193,525,14096,4.719703786538054,True,True
556726,2011-06-14 11:31:00,2011-06,United Kingdom,United Kingdom,Weekday,8915.52,2096,9,18102,4.708211778373745,True,True
573153,2011-10-28 07:39:00,2011-10,France,International,Weekday,8895.76,5205,61,12678,4.697112947419358,True,True
553368,2011-05-16 14:24:00,2011-05,United Kingdom,United Kingdom,Weekday,8895.66,1787,17,18102,4.697056779246512,True,True
560580,2011-07-19 15:23:00,2011-07,United Kingdom,United Kingdom,Weekday,8801.51,2565,84,14088,4.644174444511919,True,True
558475,2011-06-29 15:58:00,2011-06,United Kingdom,United Kingdom,Weekday,8705.89,4137,704,,4.590466437636489,True,True
539731,2010-12-21 15:05:00,2010-12,Netherlands,International,Weekday,8520.92,6668,54,14646,4.486572168323079,True,True
576339,2011-11-14 15:27:00,2011-11,United Kingdom,United Kingdom,Weekday,8425.539999999999,2175,541,14096,4.432998965062479,True,True
581105,2011-12-07 12:14:00,2011-12,United Kingdom,United Kingdom,Weekday,8345.2,4340,7,16000,4.387873454997933,True,True
566557,2011-09-13 11:47:00,2011-09,Netherlands,International,Weekday,8281.12,4951,57,14646,4.351880889838159,True,True
537434,2010-12-06 16:57:00,2010-12,United Kingdom,United Kingdom,Weekday,8223.4,1869,674,,4.319460620471396,True,True
581219,2011-12-08 09:28:00,2011-12,United Kingdom,United Kingdom,Weekday,8159.03,2151,749,,4.283305167610369,True,True
551697,2011-05-03 13:46:00,2011-05,United Kingdom,United Kingdom,Weekday,8142.75,1,1,16029,4.274160989071026,True,True
571281,2011-10-16 13:23:00,2011-10,United Kingdom,United Kingdom,Weekend,8132.31,1624,96,14088,4.268297031825894,True,True
578149,2011-11-23 11:11:00,2011-11,United Kingdom,United Kingdom,Weekday,8124.25,1008,282,,4.263769877094499,True,True
575508,2011-11-10 10:32:00,2011-11,Netherlands,International,Weekday,8111.2,6712,53,14646,4.256439930538084,True,True
579196,2011-11-28 15:54:00,2011-11,United Kingdom,United Kingdom,Weekday,8107.72,2106,529,14096,4.254485278123041,True,True
541711,2011-01-21 11:18:00,2011-01,Netherlands,International,Weekday,8060.3,5730,106,14646,4.227850330559426,True,True
578140,2011-11-23 10:58:00,2011-11,Netherlands,International,Weekday,7952.68,5760,42,14646,4.167402142942465,True,True
540818,2011-01-11 12:57:00,2011-01,United Kingdom,United Kingdom,Weekday,7837.5,1970,2,15749,4.10270764145834,True,True
570557,2011-10-11 11:15:00,2011-10,United Kingdom,United Kingdom,Weekday,7810.5599999999995,4176,8,16029,4.087575935693604,True,True
558775,2011-07-04 10:20:00,2011-07,United Kingdom,United Kingdom,Weekday,7786.0,1700,6,18102,4.0737810324426045,True,True
541570,2011-01-19 12:34:00,2011-01,Netherlands,International,Weekday,7722.04,6072,33,14646,4.037855869090246,True,True
581492,2011-12-09 10:03:00,2011-12,United Kingdom,United Kingdom,Weekday,7689.23,2011,731,,4.019427091579444,True,True
537240,2010-12-06 10:08:00,2010-12,United Kingdom,United Kingdom,Weekday,7660.4800000000005,1811,568,,4.003278741886194,True,True
570097,2011-10-07 12:05:00,2011-10,United Kingdom,United Kingdom,Weekday,7630.5599999999995,4176,8,16029,3.986473224570644,True,True
580610,2011-12-05 11:48:00,2011-12,United Kingdom,United Kingdom,Weekday,7574.48,948,271,,3.9549741132385576,True,True
541789,2011-01-21 13:07:00,2011-01,United Kingdom,United Kingdom,Weekday,7544.91,1927,93,14088,3.9383651845279695,True,True
578833,2011-11-25 15:23:00,2011-11,United Kingdom,United Kingdom,Weekday,7483.83,913,247,,3.9040576645535783,True,True
574295,2011-11-03 15:47:00,2011-11,United Kingdom,United Kingdom,Weekday,7427.32,1952,21,17389,3.8723170300782535,True,True
572196,2011-10-21 11:54:00,2011-10,United Kingdom,United Kingdom,Weekday,7398.54,2782,16,18102,3.8561518299331494,True,True
537237,2010-12-06 09:58:00,2010-12,United Kingdom,United Kingdom,Weekday,7335.45,1608,595,,3.820715329684552,True,True
565475,2011-09-05 10:47:00,2011-09,EIRE,International,Weekday,7335.0599999999995,4934,50,14156,3.820496273810452,True,True
569343,2011-10-03 14:34:00,2011-10,United Kingdom,United Kingdom,Weekday,7298.76,1764,13,18102,3.8001072270673224,True,True
574328,2011-11-04 09:05:00,2011-11,United Kingdom,United Kingdom,Weekday,7271.34,4981,208,13081,3.7847059140729247,True,True
538071,2010-12-09 14:09:00,2010-12,United Kingdom,United Kingdom,Weekday,7268.65,1642,648,,3.7831949902233646,True,True
536876,2010-12-03 11:36:00,2010-12,United Kingdom,United Kingdom,Weekday,7257.08,1641,586,,3.776696332625072,True,True
580115,2011-12-01 16:22:00,2011-12,United Kingdom,United Kingdom,Weekday,7225.78,1988,645,,3.7591156945242465,True,True
561051,2011-07-24 13:11:00,2011-07,United Kingdom,United Kingdom,Weekend,7138.12,3312,28,16684,3.7098786742073653,True,True
575219,2011-11-09 11:17:00,2011-11,United Kingdom,United Kingdom,Weekday,7059.54,4675,66,17511,3.665741723984909,True,True
577150,2011-11-18 09:48:00,2011-11,United Kingdom,United Kingdom,Weekday,7043.69,1457,86,,3.6568390685888037,True,True
540267,2011-01-06 11:12:00,2011-01,Australia,International,Weekday,7011.38,4662,46,12415,3.638691131942233,True,True
580612,2011-12-05 11:58:00,2011-12,United Kingdom,United Kingdom,Weekday,7000.88,852,253,,3.6327934737933933,True,True
581217,2011-12-08 09:20:00,2011-12,United Kingdom,United Kingdom,Weekday,6947.75,1853,676,,3.6029513235602666,True,True
578270,2011-11-23 13:39:00,2011-11,United Kingdom,United Kingdom,Weekday,6936.5199999999995,1801,439,14096,3.5966436377496502,True,True
539101,2010-12-16 10:35:00,2010-12,United Kingdom,United Kingdom,Weekday,6930.0,4800,11,16029,3.5929814728800857,True,True
536592,2010-12-01 17:06:00,2010-12,United Kingdom,United Kingdom,Weekday,6915.65,1478,590,,3.5849213400766717,True,True
580730,2011-12-05 17:28:00,2011-12,United Kingdom,United Kingdom,Weekday,6870.2,1858,661,,3.5593929055181244,True,True
566935,2011-09-15 15:35:00,2011-09,United Kingdom,United Kingdom,Weekday,6870.0,1500,5,18102,3.5592805691724325,True,True
580367,2011-12-02 16:39:00,2011-12,United Kingdom,United Kingdom,Weekday,6821.21,1872,650,,3.531876117640826,True,True
578746,2011-11-25 11:36:00,2011-11,United Kingdom,United Kingdom,Weekday,6778.7300000000005,1402,74,,3.5080158778158075,True,True
579777,2011-11-30 15:13:00,2011-11,United Kingdom,United Kingdom,Weekday,6769.0599999999995,1763,687,,3.50258441550159,True,True
581439,2011-12-08 16:30:00,2011-12,United Kingdom,United Kingdom,Weekday,6637.59,1748,635,,3.428740118660838,True,True
538349,2010-12-10 14:59:00,2010-12,United Kingdom,United Kingdom,Weekday,6602.3099999999995,1504,607,,3.4089239872807373,True,True
561655,2011-07-28 16:00:00,2011-07,United Kingdom,United Kingdom,Weekday,6591.6,1828,7,18102,3.402908375968922,True,True
563563,2011-08-17 14:03:00,2011-08,United Kingdom,United Kingdom,Weekday,6578.08,2864,8,16029,3.3953144390001304,True,True
543099,2011-02-03 12:00:00,2011-02,United Kingdom,United Kingdom,Weekday,6549.12,5880,34,16684,3.3790481361439033,True,True
564650,2011-08-26 14:17:00,2011-08,Netherlands,International,Weekday,6429.639999999999,4628,41,14646,3.311938403227396,True,True
544480,2011-02-21 10:32:00,2011-02,Netherlands,International,Weekday,6323.38,4034,43,14646,3.252254102761143,True,True
537638,2010-12-07 15:28:00,2010-12,United Kingdom,United Kingdom,Weekday,6293.86,1448,601,,3.2356732581369774,True,True
538177,2010-12-10 09:51:00,2010-12,United Kingdom,United Kingdom,Weekday,6272.01,1306,531,,3.223400512370107,True,True
576374,2011-11-15 08:50:00,2011-11,United Kingdom,United Kingdom,Weekday,6260.900000000001,3154,19,13777,3.217160228366907,True,True
578344,2011-11-24 09:21:00,2011-11,United Kingdom,United Kingdom,Weekday,6215.59,1603,622,,3.1917104292503438,True,True
574740,2011-11-06 16:07:00,2011-11,Switzerland,International,Weekend,6207.67,2708,131,12357,3.1872619099609336,True,True
556415,2011-06-10 12:19:00,2011-06,Switzerland,International,Weekday,6207.08,3142,64,12409,3.1869305177411418,True,True
577844,2011-11-22 10:41:00,2011-11,United Kingdom,United Kingdom,Weekday,6167.53,1242,78,,3.1647160053805132,True,True
574293,2011-11-03 15:32:00,2011-11,United Kingdom,United Kingdom,Weekday,6162.620000000001,2290,9,17450,3.161958148093771,True,True
543379,2011-02-07 15:37:00,2011-02,United Kingdom,United Kingdom,Weekday,6155.719999999999,1420,4,18102,3.15808254416739,True,True
580983,2011-12-06 16:26:00,2011-12,United Kingdom,United Kingdom,Weekday,6114.03,1651,629,,3.134666032907856,True,True
576837,2011-11-16 15:16:00,2011-11,United Kingdom,United Kingdom,Weekday,6081.09,1688,585,,3.1161642367723545,True,True
537823,2010-12-08 14:25:00,2010-12,United Kingdom,United Kingdom,Weekday,6073.71,1484,589,,3.112019025616313,True,True
571751,2011-10-19 11:18:00,2011-10,Singapore,International,Weekday,6068.0599999999995,2,1,12744,3.108845523850509,True,True
581023,2011-12-07 10:35:00,2011-12,United Kingdom,United Kingdom,Weekday,6061.34,766,215,,3.105071022635252,True,True
577358,2011-11-18 15:59:00,2011-11,United Kingdom,United Kingdom,Weekday,5957.66,1621,561,,3.0468358610284274,True,True
539437,2010-12-17 14:54:00,2010-12,United Kingdom,United Kingdom,Weekday,5946.49,1310,516,,3.040561876121519,True,True
555400,2011-06-02 17:50:00,2011-06,United Kingdom,United Kingdom,Weekday,5913.9,1330,68,14088,3.0222566685909786,True,True
569010,2011-09-30 07:36:00,2011-09,EIRE,International,Weekday,5867.08,2720,27,14156,2.9959587300644404,True,False
579508,2011-11-29 16:33:00,2011-11,United Kingdom,United Kingdom,Weekday,5805.01,1517,578,,2.961095145178873,True,False
543518,2011-02-09 11:21:00,2011-02,Japan,International,Weekday,5735.24,2962,48,12753,2.921906610984157,True,False
574294,2011-11-03 15:47:00,2011-11,United Kingdom,United Kingdom,Weekday,5727.0,3840,3,16333,2.917278353541639,True,False
566931,2011-09-15 15:27:00,2011-09,United Kingdom,United Kingdom,Weekday,5725.0,1250,3,18102,2.9161549900847175,True,False
557263,2011-06-19 11:08:00,2011-06,Netherlands,International,Weekend,5683.0599999999995,4718,52,14646,2.8925980583930677,True,False
581498,2011-12-09 10:26:00,2011-12,United Kingdom,United Kingdom,Weekday,5664.889999999999,732,218,,2.8823923013869335,True,False
567385,2011-09-20 10:27:00,2011-09,United Kingdom,United Kingdom,Weekday,5639.52,2472,22,14866,2.8681424359358814,True,False
565150,2011-09-01 14:26:00,2011-09,United Kingdom,United Kingdom,Weekday,5590.67,4871,179,14298,2.8407042835005667,True,False
565847,2011-09-07 12:44:00,2011-09,United Kingdom,United Kingdom,Weekday,5557.66,758,180,,2.8221631696440728,True,False
578347,2011-11-24 09:26:00,2011-11,United Kingdom,United Kingdom,Weekday,5526.53,1514,599,,2.804678017437085,True,False
536544,2010-12-01 14:32:00,2010-12,United Kingdom,United Kingdom,Weekday,5521.14,1208,523,,2.801650552920681,True,False
554845,2011-05-26 19:49:00,2011-05,United Kingdom,United Kingdom,Weekday,5518.68,2140,8,17450,2.8002688158686677,True,False
547812,2011-03-25 14:06:00,2011-03,United Kingdom,United Kingdom,Weekday,5513.32,1336,4,18102,2.7972582018041168,True,False
576644,2011-11-16 10:01:00,2011-11,United Kingdom,United Kingdom,Weekday,5508.5199999999995,684,232,,2.7945621295075047,True,False
574092,2011-11-03 09:28:00,2011-11,United Kingdom,United Kingdom,Weekday,5500.38,4074,21,16684,2.789990040237833,True,False
558776,2011-07-04 10:20:00,2011-07,United Kingdom,United Kingdom,Weekday,5496.0,1200,6,18102,2.7875298742671744,True,False
577747,2011-11-21 14:21:00,2011-11,United Kingdom,United Kingdom,Weekday,5490.24,1182,14,17450,2.7842945875112397,True,False
560729,2011-07-20 14:39:00,2011-07,United Kingdom,United Kingdom,Weekday,5433.57,3237,50,17511,2.752464083959361,True,False
549027,2011-04-05 17:02:00,2011-04,United Kingdom,United Kingdom,Weekday,5424.0,1600,4,17857,2.7470887898179908,True,False
553470,2011-05-17 11:27:00,2011-05,United Kingdom,United Kingdom,Weekday,5410.0599999999995,1325,11,18102,2.7392589465232455,True,False
557125,2011-06-16 18:40:00,2011-06,United Kingdom,United Kingdom,Weekday,5405.48,3104,11,17450,2.736686444206895,True,False
579297,2011-11-29 11:23:00,2011-11,United Kingdom,United Kingdom,Weekday,5402.23,662,238,,2.734860978589397,True,False
580665,2011-12-05 14:06:00,2011-12,United Kingdom,United Kingdom,Weekday,5401.98,4732,29,16684,2.7347205581572815,True,False
538191,2010-12-10 10:49:00,2010-12,United Kingdom,United Kingdom,Weekday,5375.28,1559,16,15061,2.719723656007376,True,False
581238,2011-12-08 10:53:00,2011-12,United Kingdom,United Kingdom,Weekday,5370.55,692,204,,2.7170669014317563,True,False
576840,2011-11-16 15:23:00,2011-11,United Kingdom,United Kingdom,Weekday,5368.13,1332,543,,2.715707631648881,True,False
571653,2011-10-18 12:17:00,2011-10,United Kingdom,United Kingdom,Weekday,5355.68,5918,202,14298,2.7087146941295432,True,False
567290,2011-09-19 11:54:00,2011-09,Netherlands,International,Weekday,5350.4,3717,38,14646,2.705749014603269,True,False
538524,2010-12-13 09:35:00,2010-12,United Kingdom,United Kingdom,Weekday,5344.98,1303,488,,2.702704699635011,True,False
579187,2011-11-28 15:31:00,2011-11,United Kingdom,United Kingdom,Weekday,5333.5199999999995,1402,539,,2.6962678270268494,True,False
545713,2011-03-07 10:11:00,2011-03,United Kingdom,United Kingdom,Weekday,5307.65,1365,119,,2.681737120711566,True,False
571318,2011-10-17 10:50:00,2011-10,Sweden,International,Weekday,5296.96,5952,30,17404,2.67573274303432,True,False
574352,2011-11-04 10:38:00,2011-11,United Kingdom,United Kingdom,Weekday,5292.72,1776,14,18102,2.673351212505646,True,False
575138,2011-11-08 15:24:00,2011-11,United Kingdom,United Kingdom,Weekday,5269.78,698,225,,2.6604662336547524,True,False
539958,2010-12-23 13:26:00,2010-12,United Kingdom,United Kingdom,Weekday,5262.0599999999995,2320,509,,2.6561300507110346,True,False
564230,2011-08-24 10:22:00,2011-08,United Kingdom,United Kingdom,Weekday,5234.73,1191,82,,2.6407792890721984,True,False
577078,2011-11-17 15:17:00,2011-11,United Kingdom,United Kingdom,Weekday,5217.83,1361,572,,2.63128686786121,True,False
553607,2011-05-18 10:47:00,2011-05,United Kingdom,United Kingdom,Weekday,5176.12,4084,25,16684,2.607859122967106,True,False
569255,2011-10-03 11:01:00,2011-10,United Kingdom,United Kingdom,Weekday,5164.66,1934,18,18102,2.601422250358944,True,False
562348,2011-08-04 12:36:00,2011-08,United Kingdom,United Kingdom,Weekday,5162.74,3005,57,17511,2.6003438214402994,True,False
558777,2011-07-04 10:23:00,2011-07,United Kingdom,United Kingdom,Weekday,5078.83,828,332,,2.5532131076051465,True,False
578827,2011-11-25 14:25:00,2011-11,United Kingdom,United Kingdom,Weekday,5078.0199999999995,1256,520,,2.5527581454050927,True,False
564221,2011-08-24 09:36:00,2011-08,United Kingdom,United Kingdom,Weekday,5064.8,799,194,,2.54533271295484,True,False
537666,2010-12-07 18:36:00,2010-12,United Kingdom,United Kingdom,Weekday,5058.04,1144,536,,2.5415357444704445,True,False
576617,2011-11-15 16:57:00,2011-11,United Kingdom,United Kingdom,Weekday,5046.62,1544,593,,2.5351213391314213,True,False
540832,2011-01-11 14:42:00,2011-01,United Kingdom,United Kingdom,Weekday,5032.29,1258,126,,2.5270724399625766,True,False
574363,2011-11-04 10:57:00,2011-11,United Kingdom,United Kingdom,Weekday,5028.76,1418,13,18102,2.52508970346111,True,False
539453,2010-12-17 17:08:00,2010-12,United Kingdom,United Kingdom,Weekday,5022.16,1121,455,,2.521382604053268,True,False
580146,2011-12-02 10:07:00,2011-12,United Kingdom,United Kingdom,Weekday,4992.68,1086,68,,2.5048242266982412,True,False
573003,2011-10-27 12:11:00,2011-10,Netherlands,International,Weekday,4992.0,2400,1,14646,2.504442283122888,True,False
575335,2011-11-09 13:56:00,2011-11,United Kingdom,United Kingdom,Weekday,4961.2,3684,7,12931,2.4871424858862925,True,False
581020,2011-12-07 10:12:00,2011-12,United Kingdom,United Kingdom,Weekday,4949.24,3295,40,17511,2.4804247724139,True,False
573576,2011-10-31 14:09:00,2011-10,United Kingdom,United Kingdom,Weekday,4941.71,1265,434,14096,2.4761953089985895,True,False
567656,2011-09-21 14:40:00,2011-09,United Kingdom,United Kingdom,Weekday,4936.65,1211,419,14096,2.4733531994525775,True,False
576394,2011-11-15 10:32:00,2011-11,Australia,International,Weekday,4925.8,2890,26,12415,2.467258952698777,True,False
565291,2011-09-02 11:53:00,2011-09,United Kingdom,United Kingdom,Weekday,4913.52,1680,5,18102,2.460361501073278,True,False
538566,2010-12-13 11:21:00,2010-12,United Kingdom,United Kingdom,Weekday,4909.89,1034,471,,2.4583225963989643,True,False
554956,2011-05-27 15:17:00,2011-05,United Kingdom,United Kingdom,Weekday,4898.5599999999995,1036,101,,2.4519587424155023,True,False
563613,2011-08-18 08:49:00,2011-08,Israel,International,Weekday,4873.8099999999995,3028,171,12688,2.4380571196360954,True,False
576618,2011-11-15 17:00:00,2011-11,United Kingdom,United Kingdom,Weekday,4872.67,1306,552,,2.43741680246565,True,False
567721,2011-09-22 10:38:00,2011-09,Switzerland,International,Weekday,4860.64,2408,44,12409,2.430659771272266,True,False
569263,2011-10-03 11:37:00,2011-10,United Kingdom,United Kingdom,Weekday,4849.1,1702,13,18102,2.4241779641258274,True,False
581256,2011-12-08 11:21:00,2011-12,United Kingdom,United Kingdom,Weekday,4839.42,1074,55,,2.4187408849943255,True,False
576923,2011-11-17 10:52:00,2011-11,Japan,International,Weekday,4808.48,2210,31,12753,2.4013624523157455,True,False
556080,2011-06-08 15:21:00,2011-06,United Kingdom,United Kingdom,Weekday,4801.22,1014,93,,2.39728464296712,True,False
579512,2011-11-29 16:47:00,2011-11,United Kingdom,United Kingdom,Weekday,4789.02,1345,503,,2.3904321258798973,True,False
577531,2011-11-20 13:58:00,2011-11,United Kingdom,United Kingdom,Weekend,4785.89,608,197,,2.3886740620698146,True,False
540551,2011-01-10 09:43:00,2011-01,United Kingdom,United Kingdom,Weekday,4731.639999999999,1797,502,,2.358202828300811,True,False
569414,2011-10-04 10:11:00,2011-10,United Kingdom,United Kingdom,Weekday,4701.22,1064,81,,2.3411164701210314,True,False
539434,2010-12-17 14:41:00,2010-12,United Kingdom,United Kingdom,Weekday,4700.4,1043,460,,2.340655891103693,True,False
575875,2011-11-11 13:06:00,2011-11,United Kingdom,United Kingdom,Weekday,4688.65,1359,503,,2.3340561307942775,True,False
578844,2011-11-25 16:14:00,2011-11,United Kingdom,United Kingdom,Weekday,4688.19,1184,527,,2.3337977571991857,True,False
546992,2011-03-18 13:18:00,2011-03,United Kingdom,United Kingdom,Weekday,4666.4400000000005,3004,16,16684,2.321581179605162,True,False
576329,2011-11-14 15:22:00,2011-11,United Kingdom,United Kingdom,Weekday,4662.17,1229,517,,2.3191827986246336,True,False
552039,2011-05-06 08:10:00,2011-05,United Kingdom,United Kingdom,Weekday,4655.85,3253,176,13081,2.315632970100761,True,False
575477,2011-11-09 16:14:00,2011-11,United Kingdom,United Kingdom,Weekday,4638.39,1251,515,,2.305826007121834,True,False
579291,2011-11-29 11:21:00,2011-11,United Kingdom,United Kingdom,Weekday,4584.66,955,62,,2.2756468478516303,True,False
567458,2011-09-20 12:21:00,2011-09,United Kingdom,United Kingdom,Weekday,4563.84,2016,7,17450,2.2639526342650744,True,False
574341,2011-11-04 10:09:00,2011-11,United Kingdom,United Kingdom,Weekday,4557.6,4752,11,18102,2.2604477402794787,True,False
539451,2010-12-17 16:59:00,2010-12,United Kingdom,United Kingdom,Weekday,4537.15,834,439,,2.248961348932453,True,False
