invoice_no,invoice_date,invoice_month,country,market_group,day_type,invoice_total,total_units,distinct_items,customer_id
536398,2010-12-01 10:52:00,2010-12,United Kingdom,United Kingdom,Weekday,426.56,150,17,13448
536399,2010-12-01 10:52:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536400,2010-12-01 10:53:00,2010-12,United Kingdom,United Kingdom,Weekday,17.4,12,1,13448
536401,2010-12-01 11:21:00,2010-12,United Kingdom,United Kingdom,Weekday,354.23,124,64,15862
536402,2010-12-01 11:22:00,2010-12,United Kingdom,United Kingdom,Weekday,357.0,116,3,15513
536403,2010-12-01 11:27:00,2010-12,Netherlands,International,Weekday,192.60000000000002,97,2,12791
536404,2010-12-01 11:29:00,2010-12,United Kingdom,United Kingdom,Weekday,471.3,438,28,16218
536405,2010-12-01 11:32:00,2010-12,United Kingdom,United Kingdom,Weekday,326.4,128,1,14045
536406,2010-12-01 11:33:00,2010-12,United Kingdom,United Kingdom,Weekday,353.14,96,17,17850
536407,2010-12-01 11:34:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536408,2010-12-01 11:41:00,2010-12,United Kingdom,United Kingdom,Weekday,783.11,558,48,14307
536409,2010-12-01 11:45:00,2010-12,United Kingdom,United Kingdom,Weekday,232.03,169,51,17908
536412,2010-12-01 11:49:00,2010-12,United Kingdom,United Kingdom,Weekday,453.46,197,54,17920
536415,2010-12-01 11:57:00,2010-12,United Kingdom,United Kingdom,Weekday,390.79,228,59,12838
536416,2010-12-01 11:58:00,2010-12,United Kingdom,United Kingdom,Weekday,225.7,110,6,13255
536420,2010-12-01 12:03:00,2010-12,United Kingdom,United Kingdom,Weekday,233.45,111,14,16583
536423,2010-12-01 12:08:00,2010-12,United Kingdom,United Kingdom,Weekday,303.9,78,9,18085
536425,2010-12-01 12:08:00,2010-12,United Kingdom,United Kingdom,Weekday,362.45,137,17,13758
536437,2010-12-01 12:12:00,2010-12,United Kingdom,United Kingdom,Weekday,842.12,1004,6,13694
536446,2010-12-01 12:15:00,2010-12,United Kingdom,United Kingdom,Weekday,430.99,323,28,15983
536460,2010-12-01 12:22:00,2010-12,United Kingdom,United Kingdom,Weekday,295.54,158,14,14849
536463,2010-12-01 12:22:00,2010-12,United Kingdom,United Kingdom,Weekday,17.4,12,1,14849
536464,2010-12-01 12:23:00,2010-12,United Kingdom,United Kingdom,Weekday,265.1,151,74,17968
536466,2010-12-01 12:23:00,2010-12,United Kingdom,United Kingdom,Weekday,42.9,18,2,14849
536477,2010-12-01 12:27:00,2010-12,United Kingdom,United Kingdom,Weekday,2474.7400000000002,1070,14,16210
536488,2010-12-01 12:31:00,2010-12,United Kingdom,United Kingdom,Weekday,163.34,71,31,17897
536500,2010-12-01 12:35:00,2010-12,United Kingdom,United Kingdom,Weekday,223.9,102,15,17377
536502,2010-12-01 12:36:00,2010-12,United Kingdom,United Kingdom,Weekday,95.29,39,5,16552
536508,2010-12-01 12:38:00,2010-12,United Kingdom,United Kingdom,Weekday,155.52,216,2,17181
536514,2010-12-01 12:40:00,2010-12,United Kingdom,United Kingdom,Weekday,295.5,118,5,17951
536520,2010-12-01 12:43:00,2010-12,United Kingdom,United Kingdom,Weekday,313.49,197,69,14729
536521,2010-12-01 12:48:00,2010-12,United Kingdom,United Kingdom,Weekday,4.95,1,1,12748
536522,2010-12-01 12:49:00,2010-12,United Kingdom,United Kingdom,Weekday,188.56,84,46,15012
536523,2010-12-01 12:50:00,2010-12,United Kingdom,United Kingdom,Weekday,203.3,112,12,12868
536524,2010-12-01 12:51:00,2010-12,United Kingdom,United Kingdom,Weekday,70.80000000000001,24,4,17572
536525,2010-12-01 12:54:00,2010-12,United Kingdom,United Kingdom,Weekday,136.24,29,13,14078
536526,2010-12-01 12:58:00,2010-12,United Kingdom,United Kingdom,Weekday,301.24,94,9,14001
536527,2010-12-01 13:04:00,2010-12,Germany,International,Weekday,261.48,157,15,12662
536528,2010-12-01 13:17:00,2010-12,United Kingdom,United Kingdom,Weekday,274.93,113,44,15525
536529,2010-12-01 13:20:00,2010-12,United Kingdom,United Kingdom,Weekday,161.0,38,9,14237
536530,2010-12-01 13:21:00,2010-12,United Kingdom,United Kingdom,Weekday,200.5,71,22,17905
536531,2010-12-01 13:23:00,2010-12,United Kingdom,United Kingdom,Weekday,939.59,391,22,15485
536532,2010-12-01 13:24:00,2010-12,Norway,International,Weekday,1919.1399999999999,1852,73,12433
536533,2010-12-01 13:31:00,2010-12,United Kingdom,United Kingdom,Weekday,156.1,80,6,16955
536534,2010-12-01 13:33:00,2010-12,United Kingdom,United Kingdom,Weekday,115.65,51,5,15350
536535,2010-12-01 13:38:00,2010-12,United Kingdom,United Kingdom,Weekday,194.85000000000002,71,12,15605
536536,2010-12-01 13:45:00,2010-12,United Kingdom,United Kingdom,Weekday,165.04999999999998,95,3,18144
536537,2010-12-01 13:51:00,2010-12,United Kingdom,United Kingdom,Weekday,369.5,138,11,15922
536538,2010-12-01 13:54:00,2010-12,United Kingdom,United Kingdom,Weekday,255.0,146,31,14594
536539,2010-12-01 14:03:00,2010-12,United Kingdom,United Kingdom,Weekday,487.75,160,27,15165
536540,2010-12-01 14:05:00,2010-12,EIRE,International,Weekday,540.38,231,20,14911
536541,2010-12-01 14:05:00,2010-12,EIRE,International,Weekday,15.0,12,1,14911
536542,2010-12-01 14:11:00,2010-12,United Kingdom,United Kingdom,Weekday,787.4,392,16,16456
536544,2010-12-01 14:32:00,2010-12,United Kingdom,United Kingdom,Weekday,5521.14,1208,523,
536551,2010-12-01 14:34:00,2010-12,United Kingdom,United Kingdom,Weekday,134.11,84,29,17346
536555,2010-12-01 14:37:00,2010-12,United Kingdom,United Kingdom,Weekday,2.9699999999999998,2,2,
536556,2010-12-01 14:38:00,2010-12,United Kingdom,United Kingdom,Weekday,101.55,71,8,17643
536557,2010-12-01 14:41:00,2010-12,United Kingdom,United Kingdom,Weekday,532.43,198,62,17841
536558,2010-12-01 14:48:00,2010-12,United Kingdom,United Kingdom,Weekday,99.75,5,1,
536559,2010-12-01 14:54:00,2010-12,United Kingdom,United Kingdom,Weekday,204.95,117,7,17873
536560,2010-12-01 15:00:00,2010-12,United Kingdom,United Kingdom,Weekday,799.4,256,13,13093
536561,2010-12-01 15:06:00,2010-12,United Kingdom,United Kingdom,Weekday,322.40000000000003,140,15,12921
536562,2010-12-01 15:08:00,2010-12,United Kingdom,United Kingdom,Weekday,308.65000000000003,99,18,13468
536563,2010-12-01 15:08:00,2010-12,United Kingdom,United Kingdom,Weekday,172.54,165,9,17760
536564,2010-12-01 15:08:00,2010-12,United Kingdom,United Kingdom,Weekday,51.4,12,2,13468
536565,2010-12-01 15:15:00,2010-12,United Kingdom,United Kingdom,Weekday,6.7,2,2,
536566,2010-12-01 15:21:00,2010-12,United Kingdom,United Kingdom,Weekday,116.25,93,6,16928
536567,2010-12-01 15:27:00,2010-12,United Kingdom,United Kingdom,Weekday,251.40000000000003,132,7,16048
536568,2010-12-01 15:28:00,2010-12,United Kingdom,United Kingdom,Weekday,5.04,12,1,16048
536569,2010-12-01 15:35:00,2010-12,United Kingdom,United Kingdom,Weekday,351.75,153,64,16274
536570,2010-12-01 15:35:00,2010-12,United Kingdom,United Kingdom,Weekday,304.34000000000003,86,5,14496
536571,2010-12-01 15:37:00,2010-12,United Kingdom,United Kingdom,Weekday,294.62,284,18,14696
536572,2010-12-01 15:40:00,2010-12,United Kingdom,United Kingdom,Weekday,442.34999999999997,301,21,16539
536573,2010-12-01 15:45:00,2010-12,United Kingdom,United Kingdom,Weekday,143.12,136,4,17025
536574,2010-12-01 15:46:00,2010-12,United Kingdom,United Kingdom,Weekday,17.85,3,1,17025
536575,2010-12-01 16:01:00,2010-12,United Kingdom,United Kingdom,Weekday,1552.98,858,8,13777
536576,2010-12-01 16:11:00,2010-12,United Kingdom,United Kingdom,Weekday,2558.42,1122,16,13777
536577,2010-12-01 16:13:00,2010-12,United Kingdom,United Kingdom,Weekday,497.0,388,4,13777
536578,2010-12-01 16:15:00,2010-12,United Kingdom,United Kingdom,Weekday,279.6,104,8,17690
536579,2010-12-01 16:16:00,2010-12,United Kingdom,United Kingdom,Weekday,315.96000000000004,276,2,13777
536580,2010-12-01 16:17:00,2010-12,United Kingdom,United Kingdom,Weekday,97.19999999999999,66,6,17690
536581,2010-12-01 16:19:00,2010-12,United Kingdom,United Kingdom,Weekday,330.0,200,1,13777
536582,2010-12-01 16:21:00,2010-12,United Kingdom,United Kingdom,Weekday,304.04,184,17,12947
536583,2010-12-01 16:21:00,2010-12,United Kingdom,United Kingdom,Weekday,198.0,120,1,13777
536584,2010-12-01 16:22:00,2010-12,United Kingdom,United Kingdom,Weekday,1132.8000000000002,384,1,13777
536585,2010-12-01 16:24:00,2010-12,United Kingdom,United Kingdom,Weekday,19.9,2,1,17460
536586,2010-12-01 16:25:00,2010-12,United Kingdom,United Kingdom,Weekday,344.2,44,7,18229
536587,2010-12-01 16:33:00,2010-12,United Kingdom,United Kingdom,Weekday,311.81,313,22,14142
536588,2010-12-01 16:49:00,2010-12,United Kingdom,United Kingdom,Weekday,277.05,103,11,17069
536590,2010-12-01 16:52:00,2010-12,United Kingdom,United Kingdom,Weekday,205.86,74,14,13065
536591,2010-12-01 16:57:00,2010-12,United Kingdom,United Kingdom,Weekday,198.32,93,40,14606
536592,2010-12-01 17:06:00,2010-12,United Kingdom,United Kingdom,Weekday,6915.65,1478,590,
536593,2010-12-01 17:15:00,2010-12,United Kingdom,United Kingdom,Weekday,81.75,19,5,16835
536594,2010-12-01 17:22:00,2010-12,United Kingdom,United Kingdom,Weekday,79.5,34,5,15235
536595,2010-12-01 17:24:00,2010-12,United Kingdom,United Kingdom,Weekday,349.15,108,11,13576
536596,2010-12-01 17:29:00,2010-12,United Kingdom,United Kingdom,Weekday,38.09,9,6,
536597,2010-12-01 17:35:00,2010-12,United Kingdom,United Kingdom,Weekday,102.78999999999999,71,28,18011
536598,2010-12-02 07:48:00,2010-12,United Kingdom,United Kingdom,Weekday,160.6,76,4,13090
536599,2010-12-02 07:49:00,2010-12,United Kingdom,United Kingdom,Weekday,306.4,80,6,15694
536600,2010-12-02 08:32:00,2010-12,United Kingdom,United Kingdom,Weekday,251.62,56,12,17850
536601,2010-12-02 08:33:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536602,2010-12-02 08:34:00,2010-12,United Kingdom,United Kingdom,Weekday,163.76,64,12,17850
536603,2010-12-02 08:40:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536604,2010-12-02 08:43:00,2010-12,United Kingdom,United Kingdom,Weekday,184.5,114,9,14741
536605,2010-12-02 08:52:00,2010-12,United Kingdom,United Kingdom,Weekday,272.65000000000003,107,15,13715
536607,2010-12-02 09:29:00,2010-12,United Kingdom,United Kingdom,Weekday,303.97,93,18,17732
536608,2010-12-02 09:37:00,2010-12,United Kingdom,United Kingdom,Weekday,38.1,30,3,12855
536609,2010-12-02 09:41:00,2010-12,United Kingdom,United Kingdom,Weekday,244.46,88,16,17850
536610,2010-12-02 09:42:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536611,2010-12-02 09:43:00,2010-12,United Kingdom,United Kingdom,Weekday,259.65000000000003,153,14,15752
536612,2010-12-02 09:44:00,2010-12,United Kingdom,United Kingdom,Weekday,206.76,82,15,17850
536613,2010-12-02 09:44:00,2010-12,United Kingdom,United Kingdom,Weekday,208.97,197,17,17855
536614,2010-12-02 09:44:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536615,2010-12-02 10:09:00,2010-12,United Kingdom,United Kingdom,Weekday,286.92,108,12,14047
536616,2010-12-02 10:10:00,2010-12,United Kingdom,United Kingdom,Weekday,244.08,72,1,17925
536617,2010-12-02 10:17:00,2010-12,United Kingdom,United Kingdom,Weekday,1095.12,644,11,13941
536618,2010-12-02 10:17:00,2010-12,United Kingdom,United Kingdom,Weekday,780.12,600,21,17017
536619,2010-12-02 10:18:00,2010-12,United Kingdom,United Kingdom,Weekday,97.19999999999999,48,2,17017
536620,2010-12-02 10:27:00,2010-12,United Kingdom,United Kingdom,Weekday,485.25,741,23,14135
536621,2010-12-02 10:35:00,2010-12,United Kingdom,United Kingdom,Weekday,350.06,298,10,13108
536623,2010-12-02 10:39:00,2010-12,United Kingdom,United Kingdom,Weekday,768.38,666,48,15601
536624,2010-12-02 10:45:00,2010-12,United Kingdom,United Kingdom,Weekday,610.64,228,22,13418
536626,2010-12-02 10:46:00,2010-12,United Kingdom,United Kingdom,Weekday,12.600000000000001,6,1,13418
536627,2010-12-02 10:53:00,2010-12,United Kingdom,United Kingdom,Weekday,306.2,64,14,15658
536628,2010-12-02 10:54:00,2010-12,United Kingdom,United Kingdom,Weekday,230.56,86,16,17850
536629,2010-12-02 10:55:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536630,2010-12-02 10:56:00,2010-12,United Kingdom,United Kingdom,Weekday,244.46,88,16,17850
536631,2010-12-02 10:58:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536632,2010-12-02 11:02:00,2010-12,United Kingdom,United Kingdom,Weekday,312.8,170,21,14388
536633,2010-12-02 11:20:00,2010-12,United Kingdom,United Kingdom,Weekday,204.15,105,18,14901
536634,2010-12-02 11:21:00,2010-12,United Kingdom,United Kingdom,Weekday,193.78,159,14,18041
536635,2010-12-02 11:22:00,2010-12,United Kingdom,United Kingdom,Weekday,572.38,246,20,15955
536636,2010-12-02 11:23:00,2010-12,United Kingdom,United Kingdom,Weekday,106.2,36,1,15070
536637,2010-12-02 11:35:00,2010-12,United Kingdom,United Kingdom,Weekday,219.66,157,55,18041
536638,2010-12-02 11:41:00,2010-12,United Kingdom,United Kingdom,Weekday,1056.63,619,63,16244
536639,2010-12-02 11:45:00,2010-12,United Kingdom,United Kingdom,Weekday,288.5,106,16,15111
536640,2010-12-02 11:45:00,2010-12,United Kingdom,United Kingdom,Weekday,45.85,11,11,
536641,2010-12-02 11:46:00,2010-12,United Kingdom,United Kingdom,Weekday,4.25,1,1,12748
536643,2010-12-02 11:57:00,2010-12,United Kingdom,United Kingdom,Weekday,223.7,74,26,14390
536663,2010-12-02 12:07:00,2010-12,United Kingdom,United Kingdom,Weekday,299.40000000000003,156,6,16546
536667,2010-12-02 12:09:00,2010-12,United Kingdom,United Kingdom,Weekday,362.5,214,16,15260
536670,2010-12-02 12:09:00,2010-12,United Kingdom,United Kingdom,Weekday,58.0,40,1,15260
536671,2010-12-02 12:10:00,2010-12,United Kingdom,United Kingdom,Weekday,136.2,132,5,13305
536672,2010-12-02 12:10:00,2010-12,United Kingdom,United Kingdom,Weekday,127.2,40,4,14491
536673,2010-12-02 12:11:00,2010-12,United Kingdom,United Kingdom,Weekday,339.84,504,8,14060
536674,2010-12-02 12:16:00,2010-12,United Kingdom,United Kingdom,Weekday,127.08,122,21,15923
536676,2010-12-02 12:18:00,2010-12,United Kingdom,United Kingdom,Weekday,207.5,54,9,16752
536681,2010-12-02 12:22:00,2010-12,United Kingdom,United Kingdom,Weekday,113.92,46,13,17287
536685,2010-12-02 12:23:00,2010-12,United Kingdom,United Kingdom,Weekday,380.46,108,17,17850
536688,2010-12-02 12:24:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536690,2010-12-02 12:25:00,2010-12,United Kingdom,United Kingdom,Weekday,331.26,92,17,17850
536693,2010-12-02 12:26:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536698,2010-12-02 12:28:00,2010-12,United Kingdom,United Kingdom,Weekday,326.0,144,16,15363
536707,2010-12-02 12:33:00,2010-12,United Kingdom,United Kingdom,Weekday,199.65,41,13,12915
536732,2010-12-02 12:47:00,2010-12,United Kingdom,United Kingdom,Weekday,354.54,274,26,15544
536733,2010-12-02 12:50:00,2010-12,United Kingdom,United Kingdom,Weekday,329.65000000000003,255,14,15738
536735,2010-12-02 12:58:00,2010-12,United Kingdom,United Kingdom,Weekday,211.2,128,1,17381
536736,2010-12-02 12:59:00,2010-12,United Kingdom,United Kingdom,Weekday,824.88,1296,5,17381
536738,2010-12-02 13:06:00,2010-12,United Kingdom,United Kingdom,Weekday,98.18,42,7,15827
536739,2010-12-02 13:08:00,2010-12,United Kingdom,United Kingdom,Weekday,201.75,31,12,14180
536740,2010-12-02 13:08:00,2010-12,United Kingdom,United Kingdom,Weekday,92.75,67,7,15827
536741,2010-12-02 13:11:00,2010-12,United Kingdom,United Kingdom,Weekday,202.12,130,15,13117
536742,2010-12-02 13:14:00,2010-12,United Kingdom,United Kingdom,Weekday,196.43,102,48,16916
536743,2010-12-02 13:32:00,2010-12,United Kingdom,United Kingdom,Weekday,261.76,195,35,17964
536744,2010-12-02 13:36:00,2010-12,United Kingdom,United Kingdom,Weekday,379.75,137,10,14466
536745,2010-12-02 13:38:00,2010-12,United Kingdom,United Kingdom,Weekday,341.9,126,10,17235
536746,2010-12-02 13:39:00,2010-12,United Kingdom,United Kingdom,Weekday,248.1,92,13,16510
536747,2010-12-02 13:44:00,2010-12,United Kingdom,United Kingdom,Weekday,100.2,75,12,17802
536748,2010-12-02 13:45:00,2010-12,United Kingdom,United Kingdom,Weekday,116.0,26,5,15107
536749,2010-12-02 13:49:00,2010-12,United Kingdom,United Kingdom,Weekday,321.79,93,56,17976
536750,2010-12-02 14:04:00,2010-12,United Kingdom,United Kingdom,Weekday,434.8,118,19,17850
536751,2010-12-02 14:05:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536752,2010-12-02 14:06:00,2010-12,United Kingdom,United Kingdom,Weekday,390.66,104,19,17850
536753,2010-12-02 14:07:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536754,2010-12-02 14:09:00,2010-12,United Kingdom,United Kingdom,Weekday,210.24,142,50,14449
536755,2010-12-02 14:14:00,2010-12,United Kingdom,United Kingdom,Weekday,54.25,15,15,
536756,2010-12-02 14:23:00,2010-12,United Kingdom,United Kingdom,Weekday,66.65,23,19,
536759,2010-12-02 14:26:00,2010-12,United Kingdom,United Kingdom,Weekday,311.25,113,17,16781
536761,2010-12-02 14:30:00,2010-12,United Kingdom,United Kingdom,Weekday,98.9,36,7,13491
536762,2010-12-02 14:40:00,2010-12,United Kingdom,United Kingdom,Weekday,307.68,231,20,16186
536763,2010-12-02 14:42:00,2010-12,United Kingdom,United Kingdom,Weekday,452.52,331,12,17685
536769,2010-12-02 14:47:00,2010-12,United Kingdom,United Kingdom,Weekday,668.4,375,31,17581
536771,2010-12-02 14:49:00,2010-12,United Kingdom,United Kingdom,Weekday,118.38,66,7,17581
536777,2010-12-02 15:00:00,2010-12,United Kingdom,United Kingdom,Weekday,138.1,97,5,15732
536778,2010-12-02 15:03:00,2010-12,United Kingdom,United Kingdom,Weekday,193.23,125,14,13138
536779,2010-12-02 15:08:00,2010-12,United Kingdom,United Kingdom,Weekday,15.0,1,1,15823
536780,2010-12-02 15:09:00,2010-12,United Kingdom,United Kingdom,Weekday,12.8,4,4,
536781,2010-12-02 15:14:00,2010-12,United Kingdom,United Kingdom,Weekday,50.400000000000006,24,1,17460
536782,2010-12-02 15:18:00,2010-12,United Kingdom,United Kingdom,Weekday,517.95,244,27,17567
536783,2010-12-02 15:19:00,2010-12,United Kingdom,United Kingdom,Weekday,4076.48,2909,38,15061
536784,2010-12-02 15:20:00,2010-12,United Kingdom,United Kingdom,Weekday,2170.9,1330,25,15061
536785,2010-12-02 15:22:00,2010-12,United Kingdom,United Kingdom,Weekday,2730.96,1008,6,15061
536786,2010-12-02 15:23:00,2010-12,United Kingdom,United Kingdom,Weekday,324.0,144,2,15061
536787,2010-12-02 15:24:00,2010-12,United Kingdom,United Kingdom,Weekday,192.46,76,13,17850
536788,2010-12-02 15:25:00,2010-12,United Kingdom,United Kingdom,Weekday,75.0,60,1,15061
536789,2010-12-02 15:25:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536790,2010-12-02 15:26:00,2010-12,United Kingdom,United Kingdom,Weekday,532.01,141,17,17850
536791,2010-12-02 15:27:00,2010-12,United Kingdom,United Kingdom,Weekday,44.400000000000006,24,2,17850
536792,2010-12-02 15:28:00,2010-12,United Kingdom,United Kingdom,Weekday,30.0,24,1,15061
536793,2010-12-02 15:39:00,2010-12,United Kingdom,United Kingdom,Weekday,170.7,70,11,16203
536794,2010-12-02 15:40:00,2010-12,United Kingdom,United Kingdom,Weekday,322.8,96,4,13767
536795,2010-12-02 15:40:00,2010-12,United Kingdom,United Kingdom,Weekday,333.72,180,7,15640
536796,2010-12-02 15:46:00,2010-12,United Kingdom,United Kingdom,Weekday,349.04,159,96,15574
536797,2010-12-02 15:49:00,2010-12,United Kingdom,United Kingdom,Weekday,130.8,56,6,16770
536798,2010-12-02 15:55:00,2010-12,United Kingdom,United Kingdom,Weekday,684.46,454,29,17838
536799,2010-12-02 16:00:00,2010-12,United Kingdom,United Kingdom,Weekday,183.3,122,18,17228
536800,2010-12-02 16:12:00,2010-12,United Kingdom,United Kingdom,Weekday,236.97,190,19,14829
536801,2010-12-02 16:12:00,2010-12,United Kingdom,United Kingdom,Weekday,252.3,134,14,
536802,2010-12-02 16:29:00,2010-12,United Kingdom,United Kingdom,Weekday,197.3,50,8,17412
536803,2010-12-02 16:33:00,2010-12,EIRE,International,Weekday,22.5,6,1,14911
536804,2010-12-02 16:34:00,2010-12,United Kingdom,United Kingdom,Weekday,1714.25,531,25,14031
536805,2010-12-02 16:38:00,2010-12,United Kingdom,United Kingdom,Weekday,406.56,384,20,14775
536806,2010-12-02 16:42:00,2010-12,United Kingdom,United Kingdom,Weekday,45.12,84,5,12971
536808,2010-12-02 16:46:00,2010-12,United Kingdom,United Kingdom,Weekday,247.8,64,12,17659
536809,2010-12-02 16:48:00,2010-12,United Kingdom,United Kingdom,Weekday,1003.2,1824,1,15299
536810,2010-12-02 16:50:00,2010-12,United Kingdom,United Kingdom,Weekday,303.96,204,1,15299
536811,2010-12-02 16:51:00,2010-12,United Kingdom,United Kingdom,Weekday,527.85,69,1,15299
536813,2010-12-02 16:59:00,2010-12,United Kingdom,United Kingdom,Weekday,189.8,230,17,15646
536819,2010-12-02 17:12:00,2010-12,United Kingdom,United Kingdom,Weekday,308.28000000000003,190,17,13402
536821,2010-12-02 17:17:00,2010-12,United Kingdom,United Kingdom,Weekday,143.45000000000002,80,23,17757
536823,2010-12-02 17:22:00,2010-12,United Kingdom,United Kingdom,Weekday,50.550000000000004,13,3,13011
536824,2010-12-02 17:24:00,2010-12,United Kingdom,United Kingdom,Weekday,408.0,160,1,13798
536830,2010-12-02 17:38:00,2010-12,United Kingdom,United Kingdom,Weekday,2002.4,4280,2,16754
536831,2010-12-02 17:40:00,2010-12,United Kingdom,United Kingdom,Weekday,569.4,260,4,16029
536832,2010-12-02 17:41:00,2010-12,United Kingdom,United Kingdom,Weekday,164.8,64,8,16634
536833,2010-12-02 17:48:00,2010-12,United Kingdom,United Kingdom,Weekday,438.1,208,29,18239
536834,2010-12-02 17:51:00,2010-12,United Kingdom,United Kingdom,Weekday,35.400000000000006,12,1,14576
536835,2010-12-02 18:06:00,2010-12,United Kingdom,United Kingdom,Weekday,295.0,1,1,13145
536836,2010-12-02 18:08:00,2010-12,United Kingdom,United Kingdom,Weekday,263.3,133,26,18168
536837,2010-12-02 18:15:00,2010-12,United Kingdom,United Kingdom,Weekday,308.68,174,27,14395
536838,2010-12-02 18:23:00,2010-12,United Kingdom,United Kingdom,Weekday,37.2,96,3,14865
536839,2010-12-02 18:25:00,2010-12,United Kingdom,United Kingdom,Weekday,623.73,879,16,15093
536840,2010-12-02 18:27:00,2010-12,Germany,International,Weekday,155.35,148,11,12738
536841,2010-12-02 18:27:00,2010-12,United Kingdom,United Kingdom,Weekday,393.42,174,22,16150
536842,2010-12-02 18:45:00,2010-12,United Kingdom,United Kingdom,Weekday,263.62,130,11,17552
536843,2010-12-02 18:46:00,2010-12,United Kingdom,United Kingdom,Weekday,34.9,14,2,17552
536844,2010-12-02 18:49:00,2010-12,United Kingdom,United Kingdom,Weekday,189.3,38,3,14236
536845,2010-12-02 19:18:00,2010-12,United Kingdom,United Kingdom,Weekday,127.55,45,28,17961
536846,2010-12-02 19:59:00,2010-12,United Kingdom,United Kingdom,Weekday,402.0,126,68,14573
536847,2010-12-03 09:31:00,2010-12,United Kingdom,United Kingdom,Weekday,215.57999999999998,222,9,17135
