description,total_revenue,units_sold,orders,average_unit_price
JAM MAKING SET PRINTED,25637.78,16396,1162,1.9049140893470793
DOORMAT UNION FLAG,25534.15,3751,616,8.891294498381876
PLEASE ONE PERSON METAL SIGN,25225.480000000003,12274,845,2.426067677946324
REGENCY TEAPOT ROSES,24879.13,2766,416,11.119714964370546
VINTAGE UNION JACK BUNTING,24525.83,2787,475,9.4460206185567
JUMBO BAG VINTAGE DOILY,24489.08,11448,711,2.300598885793872
SCOTTIE DOG HOT WATER BOTTLE,24455.39,4655,771,5.805300896286813
SET OF 6 SPICE TINS PANTRY DESIGN,24436.260000000002,5966,834,4.676517119244393
ROUND SNACK BOXES SET OF4 WOODLAND,24364.870000000003,8535,732,3.4687721691678037
BAKING SET 9 PIECE RETROSPOT,24185.27,4937,934,5.353144989339019
DOORMAT NEW ENGLAND,24108.39,3807,600,8.464717607973423
RED TOADSTOOL LED NIGHT LIGHT,23919.78,14001,849,2.3904327485380117
DOORMAT FAIRY CAKE,23872.91,3615,365,10.12136612021858
JUMBO BAG 50'S CHRISTMAS,23772.07,10285,716,2.4177423822714683
EDWARDIAN PARASOL NATURAL,23737.97,4077,540,7.8068265682656826
SET OF TEA COFFEE SUGAR TINS PANTRY,23489.420000000002,4800,470,5.866072186836518
CREAM HEART CARD HOLDER,23435.82,8284,524,4.4527186311787075
RED HANGING HEART T-LIGHT HOLDER,23199.24,7872,741,3.160996015936255
JUMBO BAG PINK VINTAGE PAISLEY,23179.06,11006,865,2.678348623853211
WOODEN PICTURE FRAME WHITE FINISH,23057.06,8986,1100,3.1030650994575044
JUMBO BAG OWLS,23001.06,11429,657,2.7772809667673717
VINTAGE UNION JACK MEMOBOARD,22980.239999999998,3269,221,10.374389140271493
RETROSPOT TEA SET CERAMIC 11 PC,22868.260000000002,4518,962,5.730788381742739
PAPER BUNTING RETROSPOT,22785.06,7562,798,3.7798004987531173
GREEN REGENCY TEACUP AND SAUCER,22755.5,7278,1013,3.835362035225049
CREAM SWEETHEART MINI CHEST,22594.2,1784,519,14.308129770992366
LUNCH BAG SUKI DESIGN,22486.34,12518,1284,2.168208269525268
LUNCH BAG BLACK SKULL.,22346.96,12195,1273,2.1077863182167564
DOORMAT HEARTS,22114.42,3416,592,9.247993254637437
JUMBO BAG WOODLAND ANIMALS,22092.42,9773,863,2.9266168009205984
RED WOOLLY HOTTIE WHITE HEART.,22025.73,4734,429,5.128721461187215
WOODEN FRAME ANTIQUE WHITE,21811.09,6999,971,3.577085889570552
JUMBO BAG VINTAGE LEAF,21810.43,10941,879,2.2962302483069976
RED RETROSPOT CHARLOTTE BAG,21773.39,17761,1032,1.1461973180076628
LUNCH BAG CARS BLUE,21699.48,11786,1150,2.063580034423408
DOLLY GIRL LUNCH BOX,21609.789999999997,11780,850,2.3315268065268064
DOORMAT FANCY FONT HOME SWEET HOME,21593.74,3245,502,9.514820717131473
RED RETROSPOT CAKE STAND,21354.3,2012,539,12.607560073937153
PACK OF 72 RETROSPOT CAKE CASES,21246.45,36396,1320,0.7612056213017753
COOK WITH WINE METAL SIGN,20874.440000000002,10324,723,2.3886126373626375
LUNCH BAG APPLE DESIGN,20852.579999999998,12147,1036,2.0589553656220323
LUNCH BOX I LOVE LONDON,20781.649999999998,11504,707,2.3154016620498616
ALARM CLOCK BAKELIKE PINK,20672.15,5356,783,4.579835651074589
WHITE SKULL HOT WATER BOTTLE,20582.2,3915,499,4.986313725490196
ANTIQUE SILVER T-LIGHT GLASS,19381.62,14664,689,1.5028468208092487
PICNIC BASKET WICKER LARGE,19302.26,1602,445,14.401595505617978
ROUND SNACK BOXES SET OF 4 FRUITS,19094.97,6835,581,3.275880341880342
GUMBALL COAT RACK,18798.670000000002,7926,681,2.8794049346879533
HOMEMADE JAM SCENTED CANDLES,18771.149999999998,12520,646,1.7925077399380807
ASSORTED COLOURS SILK FAN,18569.84,23826,518,1.0677649325626204
LUNCH BAG WOODLAND,18283.78,9909,1017,2.1818446601941743
FAIRY CAKE FLANNEL ASSORTED COLOUR,18056.280000000002,10241,262,2.3184790874524714
LUNCH BAG SPACEBOY DESIGN,18031.31,10427,1157,2.0130927835051544
GROW A FLYTRAP OR SUNFLOWER IN TIN,17927.45,16244,305,1.4859344262295082
HOT WATER BOTTLE I AM SO POORLY,17892.96,3441,657,5.887280966767372
HAND WARMER OWL DESIGN,17786.13,8439,654,2.359009009009009
RETROSPOT HEART HOT WATER BOTTLE,17663.98,3524,623,5.63684375
SET/5 RED RETROSPOT LID GLASS BOWLS,17623.350000000002,6073,879,3.2893721973094174
PINK REGENCY TEACUP AND SAUCER,17445.56,5788,765,3.708229166666667
LUNCH BAG PINK POLKADOT,17388.99,10487,1090,2.031925522252498
JUMBO BAG DOILEY PATTERNS,17268.69,8893,514,2.2405222437137335
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,17239.69,8411,662,2.683268072289157
6 RIBBONS RUSTIC CHARM,17186.62,9172,955,2.211237113402062
JUMBO BAG SPACEBOY DESIGN,17071.59,8666,686,2.6552167630057806
COLOUR GLASS. STAR T-LIGHT HOLDER,17069.7,5736,264,3.93203007518797
SMALL POPCORN HOLDER,17045.8,20149,589,1.0751602023608768
HOT BATHS METAL SIGN,16946.260000000002,7258,609,2.955829307568438
MINI PAINT SET VINTAGE,16937.82,26633,380,0.7850263157894737
HOME BUILDING BLOCK WORD,16923.47,2759,777,6.629308578745198
EDWARDIAN PARASOL BLACK,16915.72,2931,383,7.411148825065275
CHILDRENS CUTLERY POLKADOT PINK,16865.97,3951,423,5.1186915887850475
WOODLAND CHARLOTTE BAG,16744.45,13290,833,1.2108571428571429
SET OF 4 PANTRY JELLY MOULDS,16478.48,12649,1073,1.497788990825688
HANGING HEART JAR T-LIGHT HOLDER,16453.78,12493,728,1.4836289222373806
IVORY KITCHEN SCALES,16378.710000000001,1883,711,9.46253164556962
SET/4 WHITE RETRO STORAGE CUBES,16363.300000000001,415,155,45.23225806451613
GARDENERS KNEELING PAD KEEP CALM,16327.349999999999,8807,913,1.9439673913043478
KNITTED UNION FLAG HOT WATER BOTTLE,16148.04,3319,459,5.203712446351931
HAND OVER THE CHOCOLATE SIGN,15928.730000000001,8246,677,2.3584683357879235
VINTAGE CHRISTMAS BUNTING,15798.66,2990,401,5.548627450980392
RECYCLING BAG RETROSPOT,15607.59,6896,748,3.1890400000000003
WOOD 2 DRAWER CABINET WHITE FINISH,15123.92,2386,543,6.952326007326008
PAPER CHAIN KIT EMPIRE,15099.37,5181,436,3.2728442437923255
SET 2 TEA TOWELS I LOVE LONDON,14938.43,4907,533,3.734585635359116
SET 7 BABUSHKA NESTING BOXES,14427.970000000001,1787,380,9.79502617801047
HAND WARMER SCOTTY DOG DESIGN,14366.52,6611,548,2.3365124555160146
BREAD BIN DINER STYLE IVORY,14329.539999999999,901,375,17.415146666666665
DOORMAT ENGLISH ROSE,14300.15,2035,407,8.640073710073711
MEMO BOARD RETROSPOT DESIGN,14193.35,2960,459,6.295599128540305
JUMBO BAG PEARS,14188.960000000001,7067,595,2.4302508361204014
STRAWBERRY CERAMIC TRINKET BOX,14117.58,10473,706,1.6572816901408451
RED KITCHEN SCALES,14082.2,1620,546,9.793315018315017
HAND WARMER BIRD DESIGN,14061.890000000001,6433,554,2.401336898395722
PAPER CHAIN KIT RETROSPOT,14051.640000000001,4616,610,3.7658756137479545
JUMBO STORAGE BAG SKULLS,14006.2,6438,705,2.7869887955182073
JUMBO BAG VINTAGE CHRISTMAS,13972.710000000001,6078,476,2.417366255144033
BOX OF VINTAGE ALPHABET BLOCKS,13931.31,1342,267,12.382434456928838
PINK BLUE FELT CRAFT TRINKET BOX,13828.1,10993,522,1.4207224334600759
WORLD WAR 2 GLIDERS ASSTD DESIGNS,13814.009999999998,54951,535,0.3207276119402985
CHRISTMAS LIGHTS 10 REINDEER,13795.92,1670,311,9.962893890675241
AMAZON FEE,13761.09,2,2,6880.545
DOUGHNUT LIP GLOSS,13695.77,10395,344,1.345436046511628
3 HOOK PHOTO SHELF ANTIQUE WHITE,13611.81,1794,382,10.020785340314136
PLASTERS IN TIN SPACEBOY,13602.109999999999,8074,673,1.864023494860499
DOORMAT SPOTTY HOME SWEET HOME,13572.06,1752,480,9.204553014553015
LOVE HOT WATER BOTTLE,13334.320000000002,2359,476,6.205617283950618
PLASTERS IN TIN WOODLAND ANIMALS,13328.269999999999,7803,704,1.9113445378151261
CLOTHES PEGS RETROSPOT PACK 24,13325.869999999999,8676,772,1.8339870967741934
LUNCH BAG ALPHABET DESIGN,13325.55,7830,740,1.9909656084656082
SET OF 10 LED DOLLY LIGHTS,13290.519999999999,2219,372,6.469919571045577
SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,2841,405,4.845672371638142
TEA TIME PARTY BUNTING,12926.42,2578,467,6.160726495726495
WOODEN UNION JACK BUNTING,12792.25,2091,407,6.789317073170731
GREY HEART HOT WATER BOTTLE,12763.08,3220,561,4.404398625429553
ENAMEL FLOWER JUG CREAM,12647.26,2106,506,6.567013752455796
RED RETROSPOT MINI CASES,12634.98,1747,385,8.121839378238343
CHILDRENS CUTLERY RETROSPOT RED,12604.23,2907,317,5.2348916408668735
ASSORTED COLOUR MINI CASES,12550.57,1762,383,8.065298701298701
STRAWBERRY CHARLOTTE BAG,12548.15,9793,722,1.2022176308539945
WOODEN ROUNDERS GARDEN SET,12531.57,1327,358,10.739052924791086
VINTAGE SNAP CARDS,12510.009999999998,14521,926,1.0157754010695188
BLACK HEART CARD HOLDER,12483.220000000001,4870,189,4.3502645502645505
LOVE BUILDING BLOCK WORD,12435.86,2011,629,6.695205047318613
FELTCRAFT CUSHION OWL,12413.89,3373,470,4.162959830866807
CHILDRENS CUTLERY POLKADOT BLUE,12366.97,2847,289,5.268088737201365
ENAMEL BREAD BIN CREAM,12358.33,873,454,15.894339207048457
FELTCRAFT 6 FLOWER FRIENDS,12357.08,6070,547,2.455298372513562
REGENCY SUGAR BOWL GREEN,12342.43,3055,322,4.795123456790124
PACK OF 60 PINK PAISLEY CAKE CASES,12226.32,24820,869,0.7446931818181819
PINK HAPPY BIRTHDAY BUNTING,12179.6,2335,402,5.9335980148883385
DOORMAT WELCOME PUPPIES,12107.02,2064,287,8.819268292682928
FELTCRAFT DOLL MOLLY,12001.59,4509,331,3.2667267267267266
IVORY DINER WALL CLOCK,11911.65,1445,415,8.85322966507177
SET/3 RED GINGHAM ROSE STORAGE BOX,11905.95,3034,477,4.931106471816284
WOOD S/3 CABINET ANT WHITE FINISH,11885.98,1402,403,9.038246913580247
PAPER BUNTING WHITE LACE,11872.58,4082,326,3.396042296072508
RED DINER WALL CLOCK,11857.07,1400,460,9.24141304347826
3 HEARTS HANGING DECORATION RUSTIC,11797.380000000001,3413,303,3.352964169381108
PICNIC BASKET WICKER SMALL,11789.27,1876,461,7.54717672413793
GARDENERS KNEELING PAD CUP OF TEA,11785.99,6809,758,1.9087597911227152
RED RETROSPOT PICNIC BAG,11665.19,3985,531,3.7098496240601504
JUMBO BAG PAISLEY PARK,11581.83,5020,338,2.256289855072464
DOORMAT WELCOME TO OUR HOME,11539.06,1522,443,9.598148984198644
RED RETROSPOT ROUND CAKE TINS,11522.439999999999,1088,344,12.575697674418604
ALARM CLOCK BAKELIKE IVORY,11453.4,2885,570,4.418076923076923
FAWN BLUE HOT WATER BOTTLE,11443.87,3307,490,4.10572
CHARLOTTE BAG PINK POLKADOT,11417.74,9716,742,1.252092715231788
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",11382.81,2128,430,7.409124423963133
"RECORD FRAME 7"" SINGLE SIZE",11354.56,4374,361,3.676493150684932
SET/20 RED RETROSPOT PAPER NAPKINS,11312.56,13202,986,1.0935721393034825
CLASSIC METAL BIRDCAGE PLANT HOLDER,11300.02,975,290,13.383676975945017
WOODEN CROQUET GARDEN SET,11276.21,782,299,16.2249
RED RETROSPOT UMBRELLA,11265.26,1935,373,7.178954423592494
FELTCRAFT CUSHION RABBIT,11204.97,3086,386,4.297686375321336
REGENCY TEA PLATE ROSES,11097.249999999998,6857,445,2.075707865168539
METAL SIGN TAKE IT OR LEAVE IT,11095.94,3774,412,3.3484375
Adjust bad debt,11062.06,1,1,11062.06
LUNCH BAG DOLLY GIRL DESIGN,11060.88,6706,682,1.9342608695652173
JUMBO BAG TOYS,11014.62,5007,522,3.1267175572519084
15CM CHRISTMAS GLASS BALL 20 LIGHTS,10910.61,1359,261,9.306958174904944
SOLDIERS EGG CUP,10858.31,9073,418,1.4978199052132701
LUNCH BAG VINTAGE DOILY,10797.0,6548,601,1.8969934640522876
BAKING SET SPACEBOY DESIGN,10745.050000000001,2209,464,5.468758029978586
BREAD BIN DINER STYLE RED,10676.619999999999,665,278,17.699460431654675
SET OF 6 RIBBONS VINTAGE CHRISTMAS,10610.04,3261,422,3.5106250000000006
TRADITIONAL WOODEN SKIPPING ROPE,10504.85,8130,425,1.592523148148148
VINTAGE HEADS AND TAILS CARD GAME,10504.4,7864,607,1.5057937806873976
LUNCH BAG DOILEY PATTERN,10502.19,6551,492,1.7325754527162975
BLUE HAPPY BIRTHDAY BUNTING,10491.75,1990,390,5.864717948717949
COLOUR GLASS T-LIGHT HOLDER HANGING,10487.050000000001,16401,621,0.7275401929260451
LUNCH BAG VINTAGE LEAF DESIGN,10441.91,6308,668,1.9362038404726736
REVOLVER WOODEN RULER,10373.99,5233,348,2.2714044943820224
FAMILY ALBUM WHITE PICTURE FRAME,10345.76,1197,372,10.152849462365591
BLUE HARMONICA IN BOX,10339.81,7876,603,1.4315409836065573
DOORMAT BLACK FLOCK,10253.61,1814,195,8.510205128205127
ANTIQUE SILVER TEA GLASS ENGRAVED,10229.77,8652,347,1.471534090909091
VINTAGE DOILY JUMBO BAG RED,10206.41,4802,259,2.2147709923664123
NO SINGING METAL SIGN,10193.76,4788,496,2.53742
LONDON BUS COFFEE MUG,10140.6,4334,317,2.730219435736677
RED SPOTTY BISCUIT TIN,10116.49,2433,394,5.90964824120603
FELTCRAFT CUSHION BUTTERFLY,10110.83,2759,348,4.278142857142857
PLASTERS IN TIN CIRCUS PARADE,10061.859999999999,6113,571,1.7862045060658576
TRADITIONAL KNITTING NANCY,10053.65,6148,609,1.8817932148626817
REGENCY TEA PLATE GREEN,10051.99,6247,381,2.128433420365535
HAND WARMER UNION JACK,10023.720000000001,4851,479,2.1974036511156188
EDWARDIAN PARASOL RED,10021.42,1710,326,7.003669724770643
DOORMAT HOME SWEET HOME BLUE,9943.7,1619,285,8.34332167832168
ICE CREAM SUNDAE LIP GLOSS,9935.76,8076,277,1.35028880866426
SET OF 6 SOLDIER SKITTLES,9895.04,2480,443,4.664125560538116
DELUXE SEWING KIT,9893.0,1411,328,7.752151515151516
T-LIGHT GLASS FLUTED ANTIQUE,9873.880000000001,7955,345,1.5130057803468209
PLASTERS IN TIN STRONGMAN,9841.829999999998,6010,515,1.8509351145038169
SMALL GLASS HEART TRINKET POT,9798.980000000001,4246,541,2.8415313653136534
3 TIER CAKE TIN RED AND CREAM,9765.11,689,168,17.272142857142857
PHOTO FRAME CORNICE,9755.09,3267,504,3.213877952755906
WOODEN SCHOOL COLOURING SET,9741.57,5883,433,1.777737556561086
STRAWBERRY LUNCH BOX WITH CUTLERY,9735.38,3933,573,3.130447504302926
SET OF 4 KNICK KNACK TINS DOILY,9726.480000000001,2352,353,4.541388888888889
SWEETHEART CAKESTAND 3 TIER,9687.3,958,377,11.18424403183024
CHRISTMAS CRAFT LITTLE FRIENDS,9662.28,4073,544,2.5802712477396024
VINTAGE CREAM DOG FOOD CONTAINER,9661.32,1003,416,10.829090909090908
REGENCY MILK JUG PINK,9587.15,3160,329,3.8787915407854987
TRADITIONAL MODELLING CLAY,9572.32,8144,389,1.4223907455012852
PANTRY ROLLING PIN,9564.98,2464,238,4.3442436974789915
NATURAL SLATE CHALKBOARD LARGE,9534.67,1727,476,6.674088050314466
ZINC FOLKART SLEIGH BELLS,9512.73,5050,456,2.4164301075268813
60 CAKE CASES VINTAGE CHRISTMAS,9498.87,16032,618,0.7650158227848102
POTTERING IN THE SHED METAL SIGN,9405.76,4175,538,2.6952573529411765
LADIES & GENTLEMEN METAL SIGN,9383.43,4037,478,3.0745511482254697
SET OF 20 KIDS COOKIE CUTTERS,9383.150000000001,4311,517,2.518560460652591
RED RETROSPOT PEG BAG,9296.3,3155,485,3.131690427698574
BOX OF 6 MINI 50'S CRACKERS,9219.53,3720,403,2.651167883211679
FELTCRAFT PRINCESS CHARLOTTE DOLL,9216.16,2362,449,4.118048245614035
GINGERBREAD MAN COOKIE CUTTER,9202.15,7440,670,1.4521260997067449
60 TEATIME FAIRY CAKE CASES,9169.970000000001,18189,828,0.689585308056872
BOX OF 6 MINI VINTAGE CRACKERS,9162.41,3809,376,2.7416492146596863
PINK CREAM FELT CRAFT TRINKET BOX,9128.06,7337,616,1.4245659163987139
RED METAL BOX TOP SECRET,9117.62,1074,257,9.339272030651342
DOORMAT MULTICOLOUR STRIPE,9080.68,1491,201,9.6681592039801
ALARM CLOCK BAKELIKE ORANGE,9068.95,2323,445,4.514446902654867
SET OF 3 NOTEBOOKS IN PARCEL,9027.439999999999,5435,422,2.050720930232558
SET 2 PANTRY DESIGN TEA TOWELS,8999.27,2811,372,3.6862698412698416
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,8930.44,6539,441,1.5675615212527965
LARGE WHITE HEART OF WICKER,8878.210000000001,3069,562,3.1351398601398603
AREA PATROLLED METAL SIGN,8858.79,4365,437,2.3959453302961276
HAND WARMER RED LOVE HEART,8855.51,3986,397,2.2266262135922332
WOODEN BOX OF DOMINOES,8847.29,6390,587,1.5789816360601001
HAND WARMER RED RETROSPOT,8757.830000000002,4348,374,2.2287401574803147
MULTI COLOUR SILVER T-LIGHT HOLDER,8744.43,10545,347,0.9520170454545455
WOODEN ADVENT CALENDAR RED,8714.24,746,137,13.112481751824818
FELTCRAFT BUTTERFLY HEARTS,8621.14,6226,481,1.6384444444444444
TRAVEL SEWING KIT,8612.07,5091,467,1.9708723404255317
SWEETHEART RECIPE BOOK STAND,8571.25,1211,368,8.111132075471698
HANGING JAM JAR T-LIGHT HOLDER,8560.84,10792,348,0.9102578796561605
SET 6 PAPER TABLE LANTERN HEARTS,8558.76,2328,297,4.093564356435643
ICE CREAM PEN LIP GLOSS,8553.34,6831,257,1.4267315175097277
SET/2 RED RETROSPOT TEA TOWELS,8536.85,2599,394,4.550554156171285
SET OF 3 HEART COOKIE CUTTERS,8518.4,6332,685,1.6291907514450867
CHILDRENS CUTLERY SPACEBOY,8517.67,2077,360,4.469945054945056
VINTAGE DOILY TRAVEL SEWING KIT,8497.98,3964,415,2.156320754716981
CHICK GREY HOT WATER BOTTLE,8495.42,1871,402,5.187780487804877
SMALL WHITE HEART OF WICKER,8438.539999999999,4716,629,1.7480124223602485
PACK OF 72 SKULL CAKE CASES,8414.59,15169,663,0.797123695976155
SET OF 72 RETROSPOT PAPER DOILIES,8368.39,5808,453,1.7856512141280352
FAMILY PHOTO FRAME CORNICE,8258.59,867,260,10.96038314176245
GRAND CHOCOLATECANDLE,8196.0,5958,292,1.5990443686006826
BLUE DINER WALL CLOCK,8189.29,954,365,9.043780821917808
ALARM CLOCK BAKELIKE CHOCOLATE,8153.6,1980,428,4.783640552995392
SET OF 3 BUTTERFLY COOKIE CUTTERS,8153.56,5799,688,1.7178818443804036
HANGING HEART ZINC T-LIGHT HOLDER,8146.799999999999,9117,603,1.244759535655058
VINTAGE RED KITCHEN CABINET,8125.0,60,38,143.42105263157896
RECIPE BOX RETROSPOT,8045.1,2882,464,3.0373885350318472
SET OF 20 VINTAGE CHRISTMAS NAPKINS,8041.179999999999,8976,610,0.9908974358974358
WHITE METAL LANTERN,8037.7699999999995,1875,307,4.669299363057325
SET/10 RED POLKADOT PARTY CANDLES,7998.85,6606,379,1.3711488250652741
PACK OF 12 LONDON TISSUES,7975.98,26119,512,0.44826003824091776
OPEN CLOSED METAL SIGN,7923.93,1638,388,5.524447300771209
WHITE WOOD GARDEN PLANT LADDER,7909.28,784,429,10.87100233100233
FELTCRAFT CHRISTMAS FAIRY,7890.25,1915,321,4.549082568807339
LUNCH BOX WITH CUTLERY RETROSPOT,7860.969999999999,3088,482,3.321921487603306
ROSE COTTAGE KEEPSAKE BOX,7851.98,794,189,11.976137566137565
PAINTED METAL PEARS ASSORTED,7793.139999999999,4687,370,1.8063031914893617
SET OF 4 KNICK KNACK TINS LONDON,7771.610000000001,1849,274,4.752158273381295
METAL 4 HOOK HANGER FRENCH CHATEAU,7767.8,2444,493,3.8380321285140564
PLASTERS IN TIN VINTAGE PAISLEY,7762.239999999999,4712,566,1.900190972222222
CHOCOLATE THIS WAY METAL SIGN,7752.22,3771,468,2.534714587737844
CHARLOTTE BAG APPLES DESIGN,7741.94,7976,583,1.1219453924914675
SPACEBOY BABY GIFT SET,7741.749999999999,498,184,15.913423913043477
DOORMAT 3 SMILEY CATS,7708.48,1172,233,9.613290598290599
CHILDRENS CUTLERY POLKADOT GREEN,7701.71,1829,246,5.505934959349593
VICTORIAN SEWING BOX LARGE,7674.799999999999,532,163,17.17723926380368
CREAM CUPID HEARTS COAT HANGER,7653.17,2015,284,4.311608391608392
SILVER HANGING T-LIGHT HOLDER,7622.639999999999,4789,290,1.8617465753424658
SWEETHEART CERAMIC TRINKET BOX,7617.280000000001,6054,509,1.5708023483365947
GIRAFFE WOODEN RULER,7604.889999999999,3887,274,2.273655913978495
DOORMAT UNION JACK GUNS AND ROSES,7580.82,1228,206,9.168653846153846
PACK OF 6 BIRDY GIFT TAGS,7547.89,6221,395,1.4756511056511057
MINT KITCHEN SCALES,7521.89,852,357,9.536190476190477
CHILDRENS APRON SPACEBOY DESIGN,7508.58,3749,550,2.4254611211573236
FELTCRAFT PRINCESS LOLA DOLL,7491.83,2001,413,4.061346153846154
RED STRIPE CERAMIC DRAWER KNOB,7481.16,5494,437,1.6713832199546486
TOY TIDY PINK POLKADOT,7433.74,3439,469,3.0202536997885834
ZINC METAL HEART DECORATION,7418.07,5937,535,1.3647155963302753
FUNKY DIVA PEN,7363.86,8547,233,1.107905982905983
BOX OF 6 CHRISTMAS CAKE DECORATIONS,7356.18,1875,220,4.660950226244344
YOU'RE CONFUSING ME METAL SIGN,7301.7699999999995,4413,450,2.245964912280702
ENGLISH ROSE HOT WATER BOTTLE,7292.45,1605,375,5.359421052631578
SET OF 4 KNICK KNACK TINS DOILEY,7273.6900000000005,1825,183,4.2598924731182795
SET 6 PAPER TABLE LANTERN STARS,7250.900000000001,1932,246,4.236586345381526
RED FLORAL FELTCRAFT SHOULDER BAG,7229.43,1960,305,4.268562091503268
CIRCUS PARADE LUNCH BOX,7199.57,3677,396,2.614900497512438
SET OF 2 WOODEN MARKET CRATES,7190.349999999999,526,208,15.007980769230768
TRIPLE PHOTO FRAME CORNICE,7173.549999999999,774,218,10.27288990825688
CHILDS BREAKFAST SET SPACEBOY,7161.3,763,222,10.312946428571427
RAIN PONCHO RETROSPOT,7161.1,8875,243,1.0531854838709678
PLASTERS IN TIN SKULLS,7132.119999999999,4242,560,1.9751052631578947
PIGGY BANK RETROSPOT,7111.18,2760,329,3.1144072948328265
HAND WARMER BABUSHKA DESIGN,7105.33,4941,368,2.229490616621984
BLUE STRIPE CERAMIC DRAWER KNOB,7091.15,5252,425,1.5951612903225805
MEMO BOARD COTTAGE DESIGN,7084.42,1457,311,5.665495207667732
VICTORIAN SEWING BOX SMALL,7077.200000000001,1179,285,7.013789473684211
36 DOILIES VINTAGE CHRISTMAS,7060.28,5171,177,1.5787570621468927
GIANT 50'S CHRISTMAS CRACKER,7053.57,2661,333,2.805680473372781
JUMBO BAG DOLLY GIRL DESIGN,7051.2,3419,450,2.5757427937915747
CARRIAGE,7051.0,142,141,49.87943262411348
VINTAGE SNAKES & LADDERS,7047.7,1786,396,4.942045454545455
RETROSPOT PARTY BAG + STICKER SET,7043.94,4492,317,1.8778124999999999
JINGLE BELL HEART ANTIQUE SILVER,7038.400000000001,3564,210,2.2615962441314554
